,estacion_m,longitud,latitud,organismo,estado,municipio,altitud
0,100METROS,-99.13671212,19.47081463,SACMEX,Ciudad de México,Gustavo A. Madero,2234.499
1,ACAPONETASMN,-105.3852778,22.46638889,SMN,Nayarit,Acaponeta,29
2,ACAPULCO,-99.74916667,16.76277778,SMN-ESMA,Guerrero,Acapulco de Juárez,5
3,ACAPULCO_SEMAR,-99.9067,16.8169,SEMAR,Guerrero,Acapulco de Juárez,0
4,ACAYUCANSMN,-94.90099167,17.97691667,SMN,Veracruz de Ignacio de la Llave,Acayucan,106
5,ACULCO,-99.09981219,19.37917749,SACMEX,Ciudad de México,Iztapalapa,2235.151
6,AEROPISTA_SANTA_CRUZ_PCGRO,-98.576111,17.769167,PC GUERRERO,Guerrero,Huamuxtitlán,904
7,AGUASCALIENTES,-102.29111,21.851111,SMN-ESMA,Aguascalientes,Aguascalientes,1879
8,AGUSTINMELGAR,-104.0661111,25.26333333,SMN,Durango,Nazas,1226
9,AJUSCO,-99.21066037,19.21919237,SACMEX,Ciudad de México,Tlalpan,3014.438
10,ALAMOS,-108.9377778,27.02166667,SMN,Sonora,Alamos,409
11,ALDEAS,-93.549994,18.329407,PC TABASCO,Tabasco,Cárdenas,
12,ALGODONES,-114.7302778,32.70472222,SMN-ESMA,Baja California,Mexicali,40
13,ALTAR,-111.8345,30.7144556,SMN-ESMA,Sonora,Altar,422
14,ALTZOMONI,-98.65522222,19.11880556,SMN,México,Amecameca,4007.275
15,ALVARADO,-95.6325,18.715,SMN,Veracruz de Ignacio de la Llave,Alvarado,113
16,ALVARADOII,-95.7577777778,18.7888888889,SMN-ESMA,Veracruz de Ignacio de la Llave,Alvarado,0
17,AMECAMECA,-98.78188056,19.10983333,OCAVM,México,Amecameca,2460
18,ANGAMACUTIRO,-101.7225,20.12527778,SMN,Michoacán de Ocampo,Angamacutiro,1730
19,APATZINGAN,-102.3716667,19.08277778,SMN,Michoacán de Ocampo,Apatzingán,282
20,ARCELIA_PCGRO,-100.285833,18.327778,PC GUERRERO,Guerrero,Arcelia,401
21,ARRECIFESXCALAK,-87.83544444,18.28005556,SMN,Quintana Roo,Othón P. Blanco,2.92
22,ARRIAGA,-93.90444,16.23194,SMN-ESMA,Chiapas,Arriaga,52
23,ATLACOMULCO,-99.87735,19.79928333,SMN,México,Atlacomulco,2570
24,ATOYAC,-100.4401111,17.20958333,SMN,Guerrero,Atoyac de Álvarez,120
25,ATOYAC_PCGRO,-100.424167,17.211389,PC GUERRERO,Guerrero,Atoyac de Álvarez,66
26,AVILACAMACHO,-98.75555556,19.32027778,OCAVM,México,Ixtapaluca,2958
27,BAHIADELORETO,-111.3539167,26.00975,SMN,Baja California Sur,Loreto,25.184
28,BAHIADELOSANGELES,-113.5602778,28.89638889,SMN,Baja California,Ensenada,10
29,BALANCAN,-91.530748,17.850131,PC TABASCO,Tabasco,Balancán,
30,BARBOSA_PC_GTO,-101.631667,21.2925,PC GUANAJUATO,Guanajuato,León,0
31,BARRADELTORDO,-97.7722222,23.0519444,SMN,Tamaulipas,Aldama,5
32,BARRIENTOS,-99.18475355,19.5810157,SACMEX,México,Tultitlán,2295.448
33,BASASEACHI,-108.2088889,28.19916667,SMN,Chihuahua,Ocampo,1973
