names1,names2,names3
100METROS,,
ACAPONETASMN,ACAPONETA,
ACAPULCO,ACAPULCO,
ACAPULCO_SEMAR,,
ACAYUCANSMN,ACAYUCAN,
ACULCO,,
AEROPISTA_SANTA_CRUZ_PCGRO,,
AEROPUERTO,AEROPUERTO,
AGUASCALIENTES,AGUASCALIENTES,
AGUSTINMELGAR,AGUSTIN MELGAR,
AJUSCO,,
ALAMOS,ALAMOS,
ALDEAS,,
ALGODONES,ALGODONES,
ALTAR,ALTAR,
ALTZOMONI,ALTZOMONIL,
ALVARADO,ALVARADO,
ALVARADOII,ALVARADO II,
AMECAMECA,,
ANGAMACUTIRO,ANGAMACUTIRO,
APATZINGAN,APATZINGAN,
ARCELIA_PCGRO,,
ARRECIFESXCALAK,ARRECIFES XCALAK,
ARRIAGA,ARRIAGA,
ATLACOMULCO,ATLACOMULCO,
ATOYAC,ATOYAC,
ATOYAC_PCGRO,,
AVILACAMACHO,,
B_CHINCHORRO,,
BAHIADELORETO,BAHIA DE LORETO,
BAHIADELOSANGELES,BAHIA DE LOS ANGELES,
BALANCAN,,
BARBOSA_PC_GTO,,
BARRADELTORDO,BARRA DEL TORDO,BAHIA DEL TORDO
BARRIENTOS,,
BASASEACHI,BASASEACHIC,
BENITOJUAREZSMN,BENITO JUAREZ,
BONAMPAK_PCHIS,,
BOSQUEDETLALPAN,,
CABOPULMO,CABO PULMO,
CABORCA,CABORCA,
CABOSANLUCAS,CABOS SAN LUCAS,
CAIDADELBORRACHO,,
CALAKMULI,CALAKMUL,
CALAKMULII,CALAKMUL II,
CALVILLO,CALVILLO,
CAMPAMENTOMECOAYA,,
CAMPECHE,CAMPECHE,
CANCUN_EMA,CANCUN,
CANCUN_ESIME,CANCUN_ESIME,
CANDELA,CANDELA,
CANIONDELSUMIDERO,CAÑON DEL SUMIDERO,
CANIONUSUMACINTA,CAÑON DE USUMACINTA,
CARCELDEMUJERES,,
CARDENAS,,
CARTERO,,
CASETAFORESTALPARRES,,
CATAVINIA,CATAVIÑA,
CAYAQUITOS_PCGRO,,
CAYO_ARCAS,,
CAYO_ARENAS,,
CCA,CCA,
CCERRILLO,,
CCHA,,
CCHN,,
CCHO,,
CCHS,,
CCHV,,
CD_CONSTITUCION,CIUDAD CONSTITUCION,
CD_GUZMAN,CIUDAD GUZMAN,
CD_JUAREZ,CIUDAD JUAREZ,
CD_OBREGON,CIUDAD OBREGON,
CD_VICTORIA,CIUDAD VICTORIA,
CDALEMAN,CIUDAD ALEMAN,
CDALTAMIRANO,CIUDAD ALTAMIRANO,
CDCUAUHTEMOC,CIUDAD CUAUHTEMOC,
CDEPIEDRAS,,
CELESTUN,CELESTUN,
CEMCAS,CEMCAS,
CENAPRED,,
CERROCATEDRAL,CERRO CATEDRAL,
CHALMITA,,
CHAMELACUIXMALA,CHAMELA CUIXMALA,
CHAPALA,CHAPALA,
CHETUMAL,CHETUMAL,
CHICHIHUALCO_PCGRO,,
CHICONAUTLAI,,
CHICONAUTLAII,,
CHIHUAHUA,CHIHUAHUA,
CHILAPA_PCGRO,,
CHILPANCINGO,CHILPANCINGO,
CHINATU,CHINATU,
CHINIPAS,CHINIPAS,
CHMR_MERIDA,MERIDA CONAGUA,
CHOIX,CHOIX,
CHURUBUSCOLAGO,,
CITLALTEPEC,CITLALTEPEC,
CIUDADDELICIAS,CIUDAD DELICIAS,
CIUDADFERNANDEZ,CIUDAD FERNANDEZ,
CIUDADMANTE,CIUDAD MANTE,
CIUDADVALLES,CIUDAD VALLES,
COATEPEC,,
COATOMATITLAN_PCGRO,,
COATZACOALCO,,
COATZACOALCOS,COATZACOALCOS,
COCULA_PCGRO,,
COIXTLAHUACA_PCOAX,,
COLIMA,COLIMA,
COLOTLAN,COLOTLAN,
COMALCALCO,,
COMITAN,COMITAN,
CONCHOS,CONCHOS,
CONSTITUCIONDE1857,CONSTITUCION DE 1857,
COPALA_PCGRO,,
COPALILLO_PCGRO,,
CORDOBA,CORDOBA,
CORRALEJO_DE_HIDALGO_PC_GTO,,
COSCOMATEPEC,COSCOMATEPEC,
COYOL,,
COYUCA_DE_CATALAN_PCGRO,,
COZUMEL,COZUMEL,
CPGM,CPGM,
CRED_ARRIAGA_PCHIS,,
CRED_CINTALAPA_PCHIS,,
CRED_COMITAN_PCHIS,,
CRED_MOTOZINTLA_PCHIS,,
CRED_OCOSINGO_PCHIS,,
CRED_REVOLUCION_MEXICANA_PCHIS,,
CUAJINICUILAPA_PCGRO,,
CUARTEL_POLICIA_ESTATAL_PCHIS,,
CUATROCIENEGAS,CUATRO CIENEGAS,
CUERNAVACA,CUERNAVACA,
CULIACAN,CULIACAN,
CUMBRESDEMAJALCA,CUMBRES DE MAJALCA,
CUMBRESDEMTYELDIENTE,EL DIENTE,
CUMBRESDEMTYI,CUMBRES DE MONTEREY I,
CUMBRESDEMONTEREYII,CUMBRES DE MONTEREY II,
CUTZAMALA_PCGRO,,
DELVALLE,,
DEPORTIVA,,
DESIERTODELOSLEONES,,
DGUERRA,,
DURANGO,DURANGO,
DZILAMSMN,DZILAM,
DZILBACHEN,DZILBACHEN,
ECOGUARDAS,ECOGUARDAS,
EJERCITODEORIENTE,,
EJIDO_NUEVO_LEON,EJIDO NUEVO LEON,
EL_SALADO,,
EL_VERGEL_PCHIS,,
ELCHICO,EL CHICO,
ELFUERTE_SINALOA,EL FUERTE,
ELPINACATE,EL PINACATE,
ELTRIUNFOSMN,EL TRIUNFO,
ELVELADERO,EL VELADERO,
ELVENADO,,
ELVERGELSMN,EL VERGEL,
EMPALME,EMPALME,
ENCBII,ESCUELA NACIONAL DE CIENCIAS BIOLOGICAS II,
ENP1,,
ENP2,,
ENP3,,
ENP4,,
ENP5,,
ENP6,,
ENP7,,
ENP8,,
ENP9,,
ESCARCEGA,ESCARCEGA,
ESCNALCIENCIASBIOLOGICAS,ESCUELA NACIONAL DE CIENCIAS BIOLOGICAS I,
ESCUINTLA,ESCUINTLA,
ESTADIOAZTECA,,
FCARRILLOob,FELIPE CARRILLO PUERTO,
FINCA_HAMBURGO_PCHIS,,
FINCA_LA_PAZ_PCHIS,,
FORT_QUITMAN,,
FRIAS_PC_GTO,,
FRONTERA,,
GAVMSUR,,
GDF,,
GENERADORA101,,
GOGORRON,GOGORRON,
GRANJAGUADALUPE,,
GUACHOCHI,GUACHOCHI,
GUADALAJARA,GUADALAJARA,
GUANAJUATO,GUANAJUATO,
GUARDA,,
GUAYMAS,,
GUSTAVODIAZORDAZ,GUSTAVO DIAZ ORDAZ,
HACIENDADEARRIBA,,
HERMOSILLO,HERMOSILLO,
HERMOSILLOBAHIADEKINO,BAHIA DE KINO,BAHIA DE KINO II
HIDALGO_DEL_PARRAL,HIDALGO DEL PARRAL,
HUAJUAPAN,HUAJUAPAN DE LEON,
HUAMANTLA,HUAMANTLA,
HUAMUXTITLAN_PCGRO,,
HUATLA_DE_JIMENEZ_PCOAX,,
HUATULCO,,
HUAUCHINANGO,HUAUCHINANGO,
HUAYATLA,,
HUEJUTLA,HUEJUTLA,
HUICHAPANSMN,HUICHAPAN,
HUIMANGUILLO,,
HUIMILPAN,HUIMILPAN,
HUITUZCO_PCGRO,,
I_CLARION,,
I_SOCORRO,,
IGUALA,IGUALA,
IGUALA_PCGRO,,
IMTA,INSTITUTO MEXICANO DE TECNOLOGIA DEL AGUA,
ISLA_AGUADA,,
ISLA_CEDROS,,
ISLA_CORONADO,,
ISLA_GUADALUPE,,
ISLA_LOBOS,,
ISLA_MUJERES,,
ISLA_PEREZ,,
ISLADELCARMEN,ISLA DEL CARMEN,CIUDAD DEL CARMEN
ISLAS_MARIAS,,
ITESAAPAN,APAN,
IXTAPALUCA,,
IXTLANDELRIONAY,IXTLAN DEL RIO,
IZUCARDEMATAMOROS,IZUCAR DE MATAMOROS,
JALAPA,,
JALAPA,JALAPA,
JALPA_DE_MENDEZ,,
JANOS,JANOS,
JAUMAVE,JAUMAVE,
JIMENEZ,JIMENEZ,
JOCOTEPEC,JOCOTEPEC,
JOSEMARIAMORELOS,JOSE MARIA MORELOS,
KANTUNILKIN,KANTUNILKIN,
KM27+250,,
L_CARDENAS,,
LA_HORQUETA_PCGRO,,
LA_PAZ_,LA PAZ,
LA_PESCA,,
LA_UNION_PCGRO,,
LACALDERA,,
LACANGREJERA,PRESA LA CANGREJERA,
LAENCRUCIJADA,LA ENCRUCIJADA,
LAFLOR,LA FLOR,
LAFLORIDASMN,LA FLORIDA,
LAGODEGUADALUPE,,
LAGOS_DE_MORENO,LAGOS DE MORENO,
LAGRANDE,,
LAGUNACHACAHUA,LAGUNA CHACAHUA,
LAGUNASDEMONTEBELLO,LAGUNAS DE MONTEBELLO,
LAGUNASDEZEMPOALA,LAGUNAS DE ZEMPOALA,
LAMALINCHEI,LA MALINCHE I,
LAMALINCHEII,LA MALINCHE II,
LAMICHILIADGO,LA MICHILIA,
LAPRIMAVERA,LA PRIMAVERA,
LARUMOROSA,LA RUMOROSA,
LAS_VIGAS_PCGRO,,
LASVEGAS,LAS VEGAS,
LASVIGAS,LAS VIGAS,
LAUNIONSMN,LA UNION,
LAVENTA,,
LEON,LEON,
LINDAVISTA,,
LOMAGRANDE,LOMA GRANDE,
LOPEZMATEOS,,
LORETO,LORETO,
LOSCABOS,LOS CABOS,
LOSCOLOMOS,LOS COLOMOS,
LOSMARMOLES,LOS MARMOLES,
LOSPETENES,LOS PETENES,
LOSTUXTLASI,LOS TUXTLAS I,
LOSTUXTLASII,LOS TUXTLAS II,
LUMBRERARIOS,,
MAGUARICHI,MAGUARICHI,
MANZANILLO,MANZANILLO,
MANZANILLO_SEM,,
MAPIMIDGO,MAPIMI,
MARCOSCARRILLO,,
MARIPOSAMONARCAI,MARIPOSA MONARCA I,
MARIPOSAMONARCAII,MARIPOSA MONARCA II,
MARISMASNACIONALES,MARISMAS NACIONALES,
MATAMOROS_SEMAR,,
MATAMOROSSMN,MATAMOROS,
MATEHUALA,MATEHUALA,
MATIASROMERO,MATIAS ROMERO,
MATLAPA,MATLAPA,
MAZATLAN,MAZATLAN,
MERIDA,MERIDA,
METLATONOC_PCGRO,,
MEXICALI,MEXICALI,
MEXICALI_EMA,,
MIAHUATLAN,MIAHUATLAN,
MILPAALTA,,
MINERAL_POZOS_PC_GTO,,
MOLINODELREY,MOLINO DEL REY,
MONCLOVA,MONCLOVA,
MONCLOVA_ESIME,,
MONTE_GRANDE,,
MONTEALEGRE,,
MONTEMORELOS,MONTEMORELOS,
MONTERREY,MONTERREY,
MONTESAZULES,MONTES AZULES,
MORELIA,MORELIA,
MORELOSMUZQUIZ,MORELOS MUZQUIZ,
MUNICIPIOLIBRE,,
NACAJUCA,,
NATIVITAS,,
NEVADODECOLIMA,NEVADO DE COLIMA,
NEVADODETOLUCA,NEVADO DE TOLUCA,
NICOLASBRAVO,NICOLAS BRAVO,
NOCHISTLAN,NOCHISTLAN,
NOGALES,NOGALES,
NUEVAROSITA,NUEVA ROSITA,
NUEVASTAMARIA,,
NUEVO_CASA_GRANDES,NUEVO CASAS GRANDES,
OAXACA,OAXACA,
OAXACA_PC_PCOAX,,
OBISPOSMN,OBISPO,
OCAMPO,OCAMPO,
OCAMPOSMN,,
OJINAGA,OJINAGA,
OMETEPEC_PCGRO,,
ORIZABA,ORIZABA,
OXKUTZCAB,OXKUTZCAB,
PACHUCA,PACHUCA,
PALENQUE,PALENQUE,
PALMAS,,
PANTANOSDECENTLA,PANTANOS DE CENTLA,
PARAISO,PARAISO,
PARAISO_PCTAB,,
PAREDON,,
PARQUEIXTAPOPO,PARQUE IZTLA POPO,
PASODELAHORMIGA,,
PENON,,
PEROTESMN,PEROTE,
PETACALCO,PETACALCO,
PETATLAN_PCGRO,,
PIEDRAS_NEGRAS,PIEDRAS NEGRAS,
PIJIJIAPAN,PIJIJIAPAN,
PILARES_DE_NACOZARI,PILARES DE NACOZARI,
PIMENTEL,PIMENTEL,
PINOTEPANACIONAL,PINOTEPA,
PLANTAABASOLO,,
PLANTACERRODELAESTRELLA,,
PLANTACHAPULTEPEC,,
PLANTASANTACATARINA,,
PLAYASROSARITO,PLAYA ROSARITO,
PLUMA_HIDALGO_PCOAX,,
POBLADO_C11,,
PRESA50ANIV,PRESA 50 ANIVERSARIO,
PRESAABELARDOLRODRIGUEZTIJUANA,PRESA ABELARDO L RODRIGUEZ,
PRESAALLENDE,PRESA ALLENDE,
PRESAELCUCHILLO,PRESA EL CUCHILLO,
PRESAEMILIOLOPEZZAMORAENSENADA,PRESA LOPEZ ZAMORA,
PRESAJALPAN,PRESA JALPAN,
PRESAMADINSACMEX,,
PRESAMADINSMN,PRESA MADIN,
PRESATUXPANGO,PRESA TUXPANGO,
PRESAZICUIRAN,PRESA ZICUIRAN,
PROGRESO,PROGRESO,
PTO_CHIAPAS,,
PTO_CORTES,,
PTO_DE_GALLO_PCGRO,,
PTO_PENASCO,,
PTO_VENTURA,,
PTO_VICENTE,,
PUEBLA,PUEBLA,
PUENTE_LA_CALLE_PC_GTO,,
PUENTE_LOS_URIBE_PC_GTO,,
PUENTE_PASO_BLANCO_PC_GTO,,
PUENTE_PASO_DE_OVEJAS_PC_GTO,,
